title,publication_url,pdf_link
"Eriksson, M., Purificato, E., Noroozian, A., Vinagre, J., Chaslot, G., Gómez, E., Fernández Llorca, D.Can we trust AI benchmarks? An interdisciplinary review of current issues in ai evaluation",https://arxiv.org/abs/2502.06559,https://arxiv.org/pdf/2502.06559.pdf
"Noroozian, A., et al.Generative AI and the Future of the Digital Commons: Five Open Questions and Knowledge Gaps",https://arxiv.org/abs/2508.06470,https://arxiv.org/pdf/2508.06470.pdf
"Vinagre, J., Porcaro, L., Merisio, S., Purificato, E., Gomez, E.Data Access for Recommender Systems Research: leveraging the EU’s Digital Services Act",https://dl.acm.org/doi/full/10.1145/3705328.3748004,N/A
"De Toni, G., Purificato, E., Gomez, E., Passerini, A., Lepri, B., Consonni, C.You Don't Bring Me Flowers: Mitigating Unwanted Recommendations Through Conformal Risk Control",https://dl.acm.org/doi/10.1145/3705328.3748054,N/A
"Malitesta, D., Medda, G., Purificato, E., Marras, M., Malliaros, F., Boratto, L.How Fair is Your Diffusion Recommender Model?",https://dl.acm.org/doi/10.1145/3705328.3759318,N/A
"Eriksson, M., Purificato, E., Noroozian, A., Vinagre, J., Chaslot, G., Gómez, E., Fernández Llorca, D.AI Benchmarks: Interdisciplinary Issues and Policy Considerations",https://openreview.net/attachment?id=Y5LJrvfAIS&name=pdf,N/A
"Fernández Llorca, D., Hamon, R., Junklewitz, J. et al.Testing autonomous vehicles and AI: perspectives and challenges from cybersecurity, transparency, robustness and fairness",https://link.springer.com/article/10.1186/s12544-025-00732-x,N/A
"Dessart, F., Fernández Macías, E., Gómez, E.Anticipating the impact of AI on occupations: a JRC methodology",https://publications.jrc.ec.europa.eu/repository/handle/JRC142580,N/A
"Abendroth Dias, K., et al.Generative AI Outlook Report",https://publications.jrc.ec.europa.eu/repository/handle/JRC142598,N/A
"Gaudeul, A., Arrigoni, O., Charisi, V., Escobar Planas, M., Hupont Torres, I.The Impact of Human-AI Interaction on Discrimination",https://publications.jrc.ec.europa.eu/repository/handle/JRC139127?trk=public_post_comment-text,N/A
"Manolios, S., Sala, A., et al.Minors’ health and social media: an interdisciplinary scientific perspective",https://publications.jrc.ec.europa.eu/repository/handle/JRC141090,N/A
"Garcés, D., Santos, M., Fernández Llorca, D.Cross-Dataset Analysis of Language Models for Generalised Multi-label Review Note Distribution in Animated Productions",https://link.springer.com/article/10.1007/s44196-025-00785-9,N/A
"Garcés, D., Santos, M., Fernández Llorca, D.Leveraging language models for automated distribution of review notes in animated productions",https://doi.org/10.1016/j.neucom.2025.129620,N/A
"Cavalcanti, L., Consonni, C., Brugnara, M., Laniado, D., Montresor, A.Comparing Personalized Relevance Algorithms for Directed Graphs",https://ieeexplore.ieee.org/abstract/document/10598121,N/A
"Gómez, E., Cuesta, H., Gkiokas, A. Gómez-Cañón, J., Porcaro, L., Yesiler, F.Audio-based Music Retrieval",https://dl.acm.org/doi/10.1145/3674127.3702959,N/A
"Izquierdo, R., Alonso, J., Benderius, O., Sotelo M. A., Fernández Llorca, D.Pedestrian and Passenger Interaction with Autonomous Vehicles: Field Study in a Crosswalk Scenario",https://www.tandfonline.com/doi/full/10.1080/10447318.2024.2426856,N/A
"Silva, P., Vinagre, J., Gama, J.,Federated Online Learning for Heavy Hitter Detection",https://ebooks.iospress.nl/doi/10.3233/FAIA241065,N/A
